text,merchant,amount
"Покупка продуктов","Лента",1560.40
"Кофе утром","Шоколадница",390.00
"Доставка суши","Sushi",1499.00
"Такси до дома","Yandex Go",610.00
"Пополнение Тройка","Тройка",500.00
"Бензин","Газпромнефть",2700.00
"Подписка","Yandex Plus",299.00
"Подписка на кино","IVI",399.00
"Облачное хранилище","Google",199.00
"Квитанция ЖКХ","ЖКХ",4980.00
"Интернет","Ростелеком",650.00
"Покупка лампочек","Леруа Мерлен",420.00
"Корм для собаки","Четыре Лапы",1150.00
"Ветклиника консультация","Ветклиника",2000.00
"Наполнитель","Petshop",590.00
"Аптека","Аптека",760.00
"Витамины","Аптека",980.00
"Фитнес","Фитнес",2400.00
"Кино","Кинотеатр",520.00
"Steam","Steam",999.00
"Концерт","Билеты",3500.00
"Одежда","Lamoda",7990.00
"Маркетплейс","Ozon",890.00
"Покупка обуви","магазин",4200.00
"Налог","ФНС",1200.00
"Штраф","ГИБДД",500.00
"Госуслуги","Госуслуги",350.00
"Перевод","СБП",1500.00
"Снятие наличных","Банкомат",5000.00
"Комиссия","Банк",99.00
