text,merchant,amount,category
"Пятёрочка продукты","Пятёрочка",845.20,food
"Перекрёсток супермаркет","Перекрёсток",1320.55,food
"Доставка еды","Яндекс Еда",690.00,food
"Кофе и булочка","Coffee Like",245.00,food
"Обед в столовой","Столовая",310.00,food
"Суши сет","Sushi",1299.00,food
"Фастфуд","Вкусно — и точка",520.00,food
"Молоко хлеб яйца","Магнит",410.30,food
"Такси поездка","Yandex Go",420.00,transport
"Метро пополнение","Метрополитен",600.00,transport
"Каршеринг","Делимобиль",980.00,transport
"АЗС бензин","Газпромнефть",2500.00,transport
"Парковка","Парковка",150.00,transport
"Электричка билет","РЖД",320.00,transport
"Автобус","Тройка",200.00,transport
"Подписка на музыку","Yandex Plus",299.00,subscriptions
"Подписка кино","KION",199.00,subscriptions
"Стриминг","IVI",399.00,subscriptions
"Облачное хранилище","Google",199.00,subscriptions
"Подписка","Apple",169.00,subscriptions
"Антивирус","Kaspersky",999.00,subscriptions
"Коммунальные услуги","ЖКХ",5630.00,home
"Интернет","Ростелеком",650.00,home
"Мобильная связь","МТС",550.00,home
"Оплата электричества","Мосэнергосбыт",1420.00,home
"Вода","Водоканал",780.00,home
"Покупка лампочек","Леруа Мерлен",380.00,home
"Моющие средства","Fix Price",260.00,home
"Корм для кота","Petshop",890.00,pets
"Ветклиника приём","Ветклиника",1800.00,pets
"Наполнитель для лотка","Четыре Лапы",620.00,pets
"Игрушка для собаки","Зоомагазин",450.00,pets
"Стрижка когтей","Груминг",1200.00,pets
"Прививка животного","Ветклиника",2400.00,pets
"Аптека лекарства","Аптека",760.00,health
"Стоматолог","Клиника",3500.00,health
"Анализы","Лаборатория",2100.00,health
"Витамины","Аптека",980.00,health
"Фитнес абонемент","Фитнес",2400.00,health
"Кино билет","Кинотеатр",450.00,entertainment
"Концерт","Билеты",3200.00,entertainment
"Кафе с друзьями","Кафе",1150.00,entertainment
"Игры","Steam",999.00,entertainment
"Книга","ЛитРес",499.00,entertainment
"Одежда","Zara",5990.00,shopping
"Маркетплейс","Ozon",1890.00,shopping
"Покупка обуви","магазин",4200.00,shopping
"Товары для дома","Wildberries",1350.00,shopping
"Подарок","Gift",1500.00,shopping
"Налог","ФНС",2500.00,taxes
"Штраф","ГИБДД",500.00,taxes
"Госпошлина","Госуслуги",350.00,taxes
"Перевод на карту","СБП",1000.00,other
"Снятие наличных","Банкомат",5000.00,other
"Комиссия банка","Банк",99.00,other
"Покупка воды","ВкусВилл",120.00,food
"Латте","Starbucks",340.00,food
"Такси домой","Ситимобил",510.00,transport
"Заправка","Лукойл",2800.00,transport
"Подписка на книги","Bookmate",499.00,subscriptions
"Квартплата","ТСЖ",7200.00,home
"Когтеточка","Четыре Лапы",1100.00,pets
"Врач консультация","Поликлиника",0.00,health
"Боулинг","Развлечения",1700.00,entertainment
"Покупка на озон","Ozon",790.00,shopping
"Оплата налога","ФНС",1200.00,taxes
"Ужин","Delivery Club",820.00,food
"Трамвай","Транспорт",70.00,transport
"Оплата подписки","Netflix",899.00,subscriptions
"Домашние мелочи","Лента",560.00,home
"Песок для кошки","Petshop",540.00,pets
"Аптечка","Аптека",450.00,health
"Кино подписка","Okko",399.00,subscriptions
"Сервис","Яндекс Плюс",299.00,subscriptions
"Супермаркет","Ашан",2440.00,food
"Ремонт замка","Сервис",1500.00,home
"Мойка","Автомойка",600.00,transport
"Квитанция ЖКХ","ЖКХ",4980.00,home
"Покупка корма","Четыре Лапы",980.00,pets
"Аспирин","Аптека",120.00,health
"Кофейня","Шоколадница",520.00,food
"Такси в аэропорт","Yandex Go",1350.00,transport
"Подписка","Spotify",299.00,subscriptions
"Игровая покупка","Steam",499.00,entertainment
"Покупка куртки","Lamoda",7990.00,shopping
"Налог на имущество","ФНС",4300.00,taxes
